"source_id","source_type","title","url_or_path","chapter_section","coverage","notes"
"S1","web page","US LNG Exports","https://oil101.morgandowney.com/chapters/us-lng","From Net Importer to Largest Exporter","processed","Major section summarized in structured notes"
"S1","web page","US LNG Exports","https://oil101.morgandowney.com/chapters/us-lng","The Operating US LNG Fleet","processed","Major section summarized in structured notes"
"S1","web page","US LNG Exports","https://oil101.morgandowney.com/chapters/us-lng","The Second Wave Under Construction","processed","Major section summarized in structured notes"
"S1","web page","US LNG Exports","https://oil101.morgandowney.com/chapters/us-lng","The Biden Pause and the Trump Reversal","processed","Major section summarized in structured notes"
"S1","web page","US LNG Exports","https://oil101.morgandowney.com/chapters/us-lng","Where the Cargoes Go","processed","Major section summarized in structured notes"
"S1","web page","US LNG Exports","https://oil101.morgandowney.com/chapters/us-lng","Henry Hub, TTF and JKM","processed","Major section summarized in structured notes"
"S1","web page","US LNG Exports","https://oil101.morgandowney.com/chapters/us-lng","LNG Pricing Contracts","processed","Major section summarized in structured notes"
"S1","web page","US LNG Exports","https://oil101.morgandowney.com/chapters/us-lng","LNG Carriers","processed","Major section summarized in structured notes"
"S1","web page","US LNG Exports","https://oil101.morgandowney.com/chapters/us-lng","Shipping Bottlenecks: Panama and the Red Sea","processed","Major section summarized in structured notes"
"S1","web page","US LNG Exports","https://oil101.morgandowney.com/chapters/us-lng","FSRUs and Europe's 2022 Scramble","processed","Major section summarized in structured notes"
"S1","web page","US LNG Exports","https://oil101.morgandowney.com/chapters/us-lng","Henry Hub Globalization","processed","Major section summarized in structured notes"
"S2","web table of contents","Oil 101 Table of Contents","https://oil101.morgandowney.com/chapters","book navigation","processed","Used for chapter sequence and directory placement"
