"source_id","source_type","title","url_or_path","chapter_section","coverage","notes"
"S1","web page","Finished Products","https://oil101.morgandowney.com/chapters/finished-products","The 19 Products of Crude Oil","processed","Major section summarized in structured notes"
"S1","web page","Finished Products","https://oil101.morgandowney.com/chapters/finished-products","Gasoline: A Cocktail, Not a Single Product","processed","Major section summarized in structured notes"
"S1","web page","Finished Products","https://oil101.morgandowney.com/chapters/finished-products","Jet Fuel and the Arrival of SAF","processed","Major section summarized in structured notes"
"S1","web page","Finished Products","https://oil101.morgandowney.com/chapters/finished-products","Diesel: On-Road, Off-Road, Marine, and Home Heat","processed","Major section summarized in structured notes"
"S1","web page","Finished Products","https://oil101.morgandowney.com/chapters/finished-products","Residual Fuel and the Bunker Market After IMO 2020","processed","Major section summarized in structured notes"
"S1","web page","Finished Products","https://oil101.morgandowney.com/chapters/finished-products","LPG","processed","Major section summarized in structured notes"
"S1","web page","Finished Products","https://oil101.morgandowney.com/chapters/finished-products","Lubricant Base Oils and the Group I to V Classification","processed","Major section summarized in structured notes"
"S1","web page","Finished Products","https://oil101.morgandowney.com/chapters/finished-products","Waxes","processed","Major section summarized in structured notes"
"S1","web page","Finished Products","https://oil101.morgandowney.com/chapters/finished-products","Petroleum Coke","processed","Major section summarized in structured notes"
"S1","web page","Finished Products","https://oil101.morgandowney.com/chapters/finished-products","Bitumen and Asphalt","processed","Major section summarized in structured notes"
"S1","web page","Finished Products","https://oil101.morgandowney.com/chapters/finished-products","Kerosene and Niche Products","processed","Major section summarized in structured notes"
"S1","web page","Finished Products","https://oil101.morgandowney.com/chapters/finished-products","Carbon Black and Sulfur","processed","Major section summarized in structured notes"
"S1","web page","Finished Products","https://oil101.morgandowney.com/chapters/finished-products","Global Refined Product Trade Flows","processed","Major section summarized in structured notes"
"S2","web table of contents","Oil 101 Table of Contents","https://oil101.morgandowney.com/chapters","book navigation","processed","Used for chapter sequence and directory placement"
