"source_id","source_type","title","url_or_path","chapter_section","coverage","notes"
"S1","web page","The Shale Revolution","https://oil101.morgandowney.com/chapters/shale-revolution","The Technology Behind Shale","processed","Major section summarized in structured notes"
"S1","web page","The Shale Revolution","https://oil101.morgandowney.com/chapters/shale-revolution","Inside a Frac Job","processed","Major section summarized in structured notes"
"S1","web page","The Shale Revolution","https://oil101.morgandowney.com/chapters/shale-revolution","George Mitchell and the Barnett Shale","processed","Major section summarized in structured notes"
"S1","web page","The Shale Revolution","https://oil101.morgandowney.com/chapters/shale-revolution","Tight Oil and the Permian Basin","processed","Major section summarized in structured notes"
"S1","web page","The Shale Revolution","https://oil101.morgandowney.com/chapters/shale-revolution","The Basins","processed","Major section summarized in structured notes"
"S1","web page","The Shale Revolution","https://oil101.morgandowney.com/chapters/shale-revolution","The 2014 Price Collapse","processed","Major section summarized in structured notes"
"S1","web page","The Shale Revolution","https://oil101.morgandowney.com/chapters/shale-revolution","The Shale Treadmill","processed","Major section summarized in structured notes"
"S1","web page","The Shale Revolution","https://oil101.morgandowney.com/chapters/shale-revolution","Laterals, Parent-Child Wells, and Drilling Efficiency","processed","Major section summarized in structured notes"
"S1","web page","The Shale Revolution","https://oil101.morgandowney.com/chapters/shale-revolution","Tight Oil Breakevens and the Global Marginal Cost of Supply","processed","Major section summarized in structured notes"
"S1","web page","The Shale Revolution","https://oil101.morgandowney.com/chapters/shale-revolution","Lifting the Crude Export Ban","processed","Major section summarized in structured notes"
"S1","web page","The Shale Revolution","https://oil101.morgandowney.com/chapters/shale-revolution","Consolidation and the Chevron-Hess Deal","processed","Major section summarized in structured notes"
"S2","web table of contents","Oil 101 Table of Contents","https://oil101.morgandowney.com/chapters","book navigation","processed","Used for chapter sequence and directory placement"
