"source_id","source_type","title","url_or_path","chapter_section","coverage","notes"
"S1","web page","Chemistry of Oil","https://oil101.morgandowney.com/chapters/chemistry","The Building Blocks: Carbon and Hydrogen","processed","Major section summarized in structured notes"
"S1","web page","Chemistry of Oil","https://oil101.morgandowney.com/chapters/chemistry","Carbon Count, Boiling Point, and Physical State","processed","Major section summarized in structured notes"
"S1","web page","Chemistry of Oil","https://oil101.morgandowney.com/chapters/chemistry","The Four Molecular Structures: PONA","processed","Major section summarized in structured notes"
"S1","web page","Chemistry of Oil","https://oil101.morgandowney.com/chapters/chemistry","Typical PONA by Crude Grade","processed","Major section summarized in structured notes"
"S1","web page","Chemistry of Oil","https://oil101.morgandowney.com/chapters/chemistry","Saturated vs Unsaturated","processed","Major section summarized in structured notes"
"S1","web page","Chemistry of Oil","https://oil101.morgandowney.com/chapters/chemistry","Heteroatoms: Sulfur, Nitrogen, Oxygen, Metals","processed","Major section summarized in structured notes"
"S1","web page","Chemistry of Oil","https://oil101.morgandowney.com/chapters/chemistry","Combustion Chemistry","processed","Major section summarized in structured notes"
"S1","web page","Chemistry of Oil","https://oil101.morgandowney.com/chapters/chemistry","Octane and Cetane: Measuring Fuel Quality","processed","Major section summarized in structured notes"
"S1","web page","Chemistry of Oil","https://oil101.morgandowney.com/chapters/chemistry","Cracking and Combining","processed","Major section summarized in structured notes"
"S1","web page","Chemistry of Oil","https://oil101.morgandowney.com/chapters/chemistry","Why Chemistry Drives Pricing","processed","Major section summarized in structured notes"
"S2","web table of contents","Oil 101 Table of Contents","https://oil101.morgandowney.com/chapters","book navigation","processed","Used for chapter sequence and directory placement"
