"source_id","source_type","title","url_or_path","chapter_section","coverage","notes"
"S1","web page","Storage","https://oil101.morgandowney.com/chapters/storage","Why Store Oil?","processed","Major section summarized in structured notes"
"S1","web page","Storage","https://oil101.morgandowney.com/chapters/storage","Categories of Storage","processed","Major section summarized in structured notes"
"S1","web page","Storage","https://oil101.morgandowney.com/chapters/storage","Tank Types","processed","Major section summarized in structured notes"
"S1","web page","Storage","https://oil101.morgandowney.com/chapters/storage","Cushing, Oklahoma: The Pipeline Crossroads","processed","Major section summarized in structured notes"
"S1","web page","Storage","https://oil101.morgandowney.com/chapters/storage","Salt Caverns","processed","Major section summarized in structured notes"
"S1","web page","Storage","https://oil101.morgandowney.com/chapters/storage","The US Strategic Petroleum Reserve","processed","Major section summarized in structured notes"
"S1","web page","Storage","https://oil101.morgandowney.com/chapters/storage","International Strategic Reserves","processed","Major section summarized in structured notes"
"S1","web page","Storage","https://oil101.morgandowney.com/chapters/storage","Iran's Floating Shadow Storage","processed","Major section summarized in structured notes"
"S1","web page","Storage","https://oil101.morgandowney.com/chapters/storage","The Contango Storage Play","processed","Major section summarized in structured notes"
"S1","web page","Storage","https://oil101.morgandowney.com/chapters/storage","Inventory Reports and the Five-Year Range","processed","Major section summarized in structured notes"
"S1","web page","Storage","https://oil101.morgandowney.com/chapters/storage","AI and the 30 Percent Inventory Reduction","processed","Major section summarized in structured notes"
"S1","web page","Storage","https://oil101.morgandowney.com/chapters/storage","Where Storage Sits in the Value Chain","processed","Major section summarized in structured notes"
"S2","web table of contents","Oil 101 Table of Contents","https://oil101.morgandowney.com/chapters","book navigation","processed","Used for chapter sequence and directory placement"
