"source_id","source_type","title","url_or_path","chapter_section","coverage","notes"
"S1","web page","A Brief History of Oil","https://oil101.morgandowney.com/chapters/history","1859 to 1911: A New Industry","processed","Major section summarized in structured notes"
"S1","web page","A Brief History of Oil","https://oil101.morgandowney.com/chapters/history","International Origins: Baku, Persia, and Sumatra","processed","Major section summarized in structured notes"
"S1","web page","A Brief History of Oil","https://oil101.morgandowney.com/chapters/history","World War I and the Navy Switch to Oil","processed","Major section summarized in structured notes"
"S1","web page","A Brief History of Oil","https://oil101.morgandowney.com/chapters/history","The Texas Railroad Commission and Achnacarry","processed","Major section summarized in structured notes"
"S1","web page","A Brief History of Oil","https://oil101.morgandowney.com/chapters/history","The Seven Sisters and OPEC's Founding","processed","Major section summarized in structured notes"
"S1","web page","A Brief History of Oil","https://oil101.morgandowney.com/chapters/history","Mossadegh, the Abadan Crisis, and the 1953 Coup","processed","Major section summarized in structured notes"
"S1","web page","A Brief History of Oil","https://oil101.morgandowney.com/chapters/history","Enrico Mattei and the 25/75 Break","processed","Major section summarized in structured notes"
"S1","web page","A Brief History of Oil","https://oil101.morgandowney.com/chapters/history","1971: The Tehran Agreement and the Nixon Gold Standard","processed","Major section summarized in structured notes"
"S1","web page","A Brief History of Oil","https://oil101.morgandowney.com/chapters/history","The Oil Shocks and Demand Destruction","processed","Major section summarized in structured notes"
"S1","web page","A Brief History of Oil","https://oil101.morgandowney.com/chapters/history","NYMEX, Formula Pricing, and the 1986 Counter-Shock","processed","Major section summarized in structured notes"
"S1","web page","A Brief History of Oil","https://oil101.morgandowney.com/chapters/history","1990 to 2008: Low Prices, Asian Crisis, and the Supercycle","processed","Major section summarized in structured notes"
"S1","web page","A Brief History of Oil","https://oil101.morgandowney.com/chapters/history","2009 to 2026: The Shale Revolution, OPEC+, and Negative Oil","processed","Major section summarized in structured notes"
"S1","web page","A Brief History of Oil","https://oil101.morgandowney.com/chapters/history","Timeline: Key Events in Oil History","processed","Major section summarized in structured notes"
"S2","web table of contents","Oil 101 Table of Contents","https://oil101.morgandowney.com/chapters","book navigation","processed","Used for chapter sequence and directory placement"
