"source_id","source_type","title","url_or_path","chapter_section","coverage","notes"
"S1","web page","Forward Oil Markets: Futures and Swaps","https://oil101.morgandowney.com/chapters/futures-swaps","Paper Barrels and Wet Barrels","processed","Major section summarized in structured notes"
"S1","web page","Forward Oil Markets: Futures and Swaps","https://oil101.morgandowney.com/chapters/futures-swaps","The Forward Curve and Its Two Shapes","processed","Major section summarized in structured notes"
"S1","web page","Forward Oil Markets: Futures and Swaps","https://oil101.morgandowney.com/chapters/futures-swaps","April 20, 2020: The Day Oil Went Negative","processed","Major section summarized in structured notes"
"S1","web page","Forward Oil Markets: Futures and Swaps","https://oil101.morgandowney.com/chapters/futures-swaps","Marginal Finding and Development Cost at the Back of the Curve","processed","Major section summarized in structured notes"
"S1","web page","Forward Oil Markets: Futures and Swaps","https://oil101.morgandowney.com/chapters/futures-swaps","Spreads: How Oil Traders Actually Trade","processed","Major section summarized in structured notes"
"S1","web page","Forward Oil Markets: Futures and Swaps","https://oil101.morgandowney.com/chapters/futures-swaps","The 3:2:1 and 2:1:1 Crack Spreads","processed","Major section summarized in structured notes"
"S1","web page","Forward Oil Markets: Futures and Swaps","https://oil101.morgandowney.com/chapters/futures-swaps","The Spreads Family Tree","processed","Major section summarized in structured notes"
"S1","web page","Forward Oil Markets: Futures and Swaps","https://oil101.morgandowney.com/chapters/futures-swaps","Exchange-Traded Futures","processed","Major section summarized in structured notes"
"S1","web page","Forward Oil Markets: Futures and Swaps","https://oil101.morgandowney.com/chapters/futures-swaps","Over-the-Counter (OTC) Swap Contracts","processed","Major section summarized in structured notes"
"S1","web page","Forward Oil Markets: Futures and Swaps","https://oil101.morgandowney.com/chapters/futures-swaps","EFP, EFS, and Block Trades","processed","Major section summarized in structured notes"
"S1","web page","Forward Oil Markets: Futures and Swaps","https://oil101.morgandowney.com/chapters/futures-swaps","The Live Curve Today","processed","Major section summarized in structured notes"
"S2","web table of contents","Oil 101 Table of Contents","https://oil101.morgandowney.com/chapters","book navigation","processed","Used for chapter sequence and directory placement"
