"source_id","source_type","title","url_or_path","chapter_section","coverage","notes"
"S1","web page","New Engine Technologies","https://oil101.morgandowney.com/chapters/engine-technologies","Why Engine Technology Matters for Oil","processed","Major section summarized in structured notes"
"S1","web page","New Engine Technologies","https://oil101.morgandowney.com/chapters/engine-technologies","The Four-Stroke Cycle","processed","Major section summarized in structured notes"
"S1","web page","New Engine Technologies","https://oil101.morgandowney.com/chapters/engine-technologies","Compression Ratio and Octane","processed","Major section summarized in structured notes"
"S1","web page","New Engine Technologies","https://oil101.morgandowney.com/chapters/engine-technologies","Efficiency Breakthroughs Since 2009","processed","Major section summarized in structured notes"
"S1","web page","New Engine Technologies","https://oil101.morgandowney.com/chapters/engine-technologies","The 30 / 30 / 30 / 10 Heat Balance","processed","Major section summarized in structured notes"
"S1","web page","New Engine Technologies","https://oil101.morgandowney.com/chapters/engine-technologies","Hybrid Electric Vehicles","processed","Major section summarized in structured notes"
"S1","web page","New Engine Technologies","https://oil101.morgandowney.com/chapters/engine-technologies","Battery Electric Vehicles","processed","Major section summarized in structured notes"
"S1","web page","New Engine Technologies","https://oil101.morgandowney.com/chapters/engine-technologies","Hydrogen Fuel Cell Vehicles","processed","Major section summarized in structured notes"
"S1","web page","New Engine Technologies","https://oil101.morgandowney.com/chapters/engine-technologies","Heavy Duty and Off-Road","processed","Major section summarized in structured notes"
"S1","web page","New Engine Technologies","https://oil101.morgandowney.com/chapters/engine-technologies","The Peak ICE Question","processed","Major section summarized in structured notes"
"S2","web table of contents","Oil 101 Table of Contents","https://oil101.morgandowney.com/chapters","book navigation","processed","Used for chapter sequence and directory placement"
