"source_id","source_type","title","url_or_path","chapter_section","coverage","notes"
"S1","web page","Managing Oil Price Risk","https://oil101.morgandowney.com/chapters/risk-management","Why Commodities Are Volatile","processed","Major section summarized in structured notes"
"S1","web page","Managing Oil Price Risk","https://oil101.morgandowney.com/chapters/risk-management","The Case for Hedging","processed","Major section summarized in structured notes"
"S1","web page","Managing Oil Price Risk","https://oil101.morgandowney.com/chapters/risk-management","Corporate Hedging Objectives by Firm Type","processed","Major section summarized in structured notes"
"S1","web page","Managing Oil Price Risk","https://oil101.morgandowney.com/chapters/risk-management","Hedging Instruments","processed","Major section summarized in structured notes"
"S1","web page","Managing Oil Price Risk","https://oil101.morgandowney.com/chapters/risk-management","Basis Risk","processed","Major section summarized in structured notes"
"S1","web page","Managing Oil Price Risk","https://oil101.morgandowney.com/chapters/risk-management","Roll Risk: The Metallgesellschaft Lesson","processed","Major section summarized in structured notes"
"S1","web page","Managing Oil Price Risk","https://oil101.morgandowney.com/chapters/risk-management","Value at Risk and Expected Shortfall","processed","Major section summarized in structured notes"
"S1","web page","Managing Oil Price Risk","https://oil101.morgandowney.com/chapters/risk-management","Stress Testing","processed","Major section summarized in structured notes"
"S1","web page","Managing Oil Price Risk","https://oil101.morgandowney.com/chapters/risk-management","Counterparty Risk and the ISDA Framework","processed","Major section summarized in structured notes"
"S1","web page","Managing Oil Price Risk","https://oil101.morgandowney.com/chapters/risk-management","Hedge Accounting","processed","Major section summarized in structured notes"
"S1","web page","Managing Oil Price Risk","https://oil101.morgandowney.com/chapters/risk-management","Historical Corporate Hedging Blowups and One Famous Gain","processed","Major section summarized in structured notes"
"S1","web page","Managing Oil Price Risk","https://oil101.morgandowney.com/chapters/risk-management","Portfolio Theory and the Efficient Frontier","processed","Major section summarized in structured notes"
"S1","web page","Managing Oil Price Risk","https://oil101.morgandowney.com/chapters/risk-management","Peer Benchmarking: What Other Producers Are Doing","processed","Major section summarized in structured notes"
"S1","web page","Managing Oil Price Risk","https://oil101.morgandowney.com/chapters/risk-management","Why Some Companies Do Not Hedge","processed","Major section summarized in structured notes"
"S1","web page","Managing Oil Price Risk","https://oil101.morgandowney.com/chapters/risk-management","Operational Reality","processed","Major section summarized in structured notes"
"S2","web table of contents","Oil 101 Table of Contents","https://oil101.morgandowney.com/chapters","book navigation","processed","Used for chapter sequence and directory placement"
