"source_id","source_type","title","url_or_path","chapter_section","coverage","notes"
"S1","web page","Industry Overview","https://oil101.morgandowney.com/chapters/industry-overview","An Industry in Three Segments","processed","Major section summarized in structured notes"
"S1","web page","Industry Overview","https://oil101.morgandowney.com/chapters/industry-overview","National Oil Companies Versus International Oil Companies","processed","Major section summarized in structured notes"
"S1","web page","Industry Overview","https://oil101.morgandowney.com/chapters/industry-overview","The NOC League Table","processed","Major section summarized in structured notes"
"S1","web page","Industry Overview","https://oil101.morgandowney.com/chapters/industry-overview","US Independents: The Shale Cohort","processed","Major section summarized in structured notes"
"S1","web page","Industry Overview","https://oil101.morgandowney.com/chapters/industry-overview","Oilfield Services: The Contractors Who Actually Drill","processed","Major section summarized in structured notes"
"S1","web page","Industry Overview","https://oil101.morgandowney.com/chapters/industry-overview","Pure-Play Refiners","processed","Major section summarized in structured notes"
"S1","web page","Industry Overview","https://oil101.morgandowney.com/chapters/industry-overview","Physical Trading Houses","processed","Major section summarized in structured notes"
"S1","web page","Industry Overview","https://oil101.morgandowney.com/chapters/industry-overview","Engineering, Procurement, and Construction","processed","Major section summarized in structured notes"
"S1","web page","Industry Overview","https://oil101.morgandowney.com/chapters/industry-overview","Vertical Integration and the Disaggregation Trend","processed","Major section summarized in structured notes"
"S1","web page","Industry Overview","https://oil101.morgandowney.com/chapters/industry-overview","OPEC and OPEC+","processed","Major section summarized in structured notes"
"S1","web page","Industry Overview","https://oil101.morgandowney.com/chapters/industry-overview","The Downstream Footprint","processed","Major section summarized in structured notes"
"S1","web page","Industry Overview","https://oil101.morgandowney.com/chapters/industry-overview","Key Market Institutions","processed","Major section summarized in structured notes"
"S2","web table of contents","Oil 101 Table of Contents","https://oil101.morgandowney.com/chapters","book navigation","processed","Used for chapter sequence and directory placement"
