"source_id","source_type","title","url_or_path","chapter_section","coverage","notes"
"S1","web page","OPEC+","https://oil101.morgandowney.com/chapters/opec-plus","From OPEC to OPEC+","processed","Major section summarized in structured notes"
"S1","web page","OPEC+","https://oil101.morgandowney.com/chapters/opec-plus","Who Is in the Room","processed","Major section summarized in structured notes"
"S1","web page","OPEC+","https://oil101.morgandowney.com/chapters/opec-plus","Spare Capacity as the Swing Variable","processed","Major section summarized in structured notes"
"S1","web page","OPEC+","https://oil101.morgandowney.com/chapters/opec-plus","Quotas, Baselines, and Compliance","processed","Major section summarized in structured notes"
"S1","web page","OPEC+","https://oil101.morgandowney.com/chapters/opec-plus","Key Moments of OPEC+","processed","Major section summarized in structured notes"
"S1","web page","OPEC+","https://oil101.morgandowney.com/chapters/opec-plus","The 2020 Price War","processed","Major section summarized in structured notes"
"S1","web page","OPEC+","https://oil101.morgandowney.com/chapters/opec-plus","Saudi Arabia, Aramco, and Ghawar","processed","Major section summarized in structured notes"
"S1","web page","OPEC+","https://oil101.morgandowney.com/chapters/opec-plus","Russia After the Invasion","processed","Major section summarized in structured notes"
"S1","web page","OPEC+","https://oil101.morgandowney.com/chapters/opec-plus","The Strategic Calculus","processed","Major section summarized in structured notes"
"S2","web table of contents","Oil 101 Table of Contents","https://oil101.morgandowney.com/chapters","book navigation","processed","Used for chapter sequence and directory placement"
