"source_id","source_type","title","url_or_path","chapter_section","coverage","notes"
"S1","web page","Iran Blocks the Strait","https://oil101.morgandowney.com/chapters/iran-strait","The Chokepoint","processed","Major section summarized in structured notes"
"S1","web page","Iran Blocks the Strait","https://oil101.morgandowney.com/chapters/iran-strait","Anatomy of a Closure","processed","Major section summarized in structured notes"
"S1","web page","Iran Blocks the Strait","https://oil101.morgandowney.com/chapters/iran-strait","The Price Shock","processed","Major section summarized in structured notes"
"S1","web page","Iran Blocks the Strait","https://oil101.morgandowney.com/chapters/iran-strait","Forced Shut-Ins","processed","Major section summarized in structured notes"
"S1","web page","Iran Blocks the Strait","https://oil101.morgandowney.com/chapters/iran-strait","The Bypass Pipelines and Their Ceiling","processed","Major section summarized in structured notes"
"S1","web page","Iran Blocks the Strait","https://oil101.morgandowney.com/chapters/iran-strait","A Two-Tier Market","processed","Major section summarized in structured notes"
"S1","web page","Iran Blocks the Strait","https://oil101.morgandowney.com/chapters/iran-strait","Who Is Most Exposed","processed","Major section summarized in structured notes"
"S1","web page","Iran Blocks the Strait","https://oil101.morgandowney.com/chapters/iran-strait","Why Oil Hasn't Broken $200","processed","Major section summarized in structured notes"
"S1","web page","Iran Blocks the Strait","https://oil101.morgandowney.com/chapters/iran-strait","Anatomy of a Reopening","processed","Major section summarized in structured notes"
"S1","web page","Iran Blocks the Strait","https://oil101.morgandowney.com/chapters/iran-strait","The 2026 Crisis: A Timeline","processed","Major section summarized in structured notes"
"S1","web page","Iran Blocks the Strait","https://oil101.morgandowney.com/chapters/iran-strait","The Standing Lessons","processed","Major section summarized in structured notes"
"S2","web table of contents","Oil 101 Table of Contents","https://oil101.morgandowney.com/chapters","book navigation","processed","Used for chapter sequence and directory placement"
