"source_id","source_type","title","url_or_path","chapter_section","coverage","notes"
"S1","web page","Components of Oil Liquids","https://oil101.morgandowney.com/chapters/components","What Makes Up ""Oil Liquids""?","processed","Major section summarized in structured notes"
"S1","web page","Components of Oil Liquids","https://oil101.morgandowney.com/chapters/components","What Is Actually In a Barrel","processed","Major section summarized in structured notes"
"S1","web page","Components of Oil Liquids","https://oil101.morgandowney.com/chapters/components","Conventional Crude Oil","processed","Major section summarized in structured notes"
"S1","web page","Components of Oil Liquids","https://oil101.morgandowney.com/chapters/components","Streams, Blends, and Grades","processed","Major section summarized in structured notes"
"S1","web page","Components of Oil Liquids","https://oil101.morgandowney.com/chapters/components","Condensates","processed","Major section summarized in structured notes"
"S1","web page","Components of Oil Liquids","https://oil101.morgandowney.com/chapters/components","Natural Gas Liquids In Detail","processed","Major section summarized in structured notes"
"S1","web page","Components of Oil Liquids","https://oil101.morgandowney.com/chapters/components","Fractionation and Ethane Rejection","processed","Major section summarized in structured notes"
"S1","web page","Components of Oil Liquids","https://oil101.morgandowney.com/chapters/components","Naphtha: The Other Petchem Feed","processed","Major section summarized in structured notes"
"S1","web page","Components of Oil Liquids","https://oil101.morgandowney.com/chapters/components","Unconventional Crude Oil","processed","Major section summarized in structured notes"
"S1","web page","Components of Oil Liquids","https://oil101.morgandowney.com/chapters/components","Refinery Gain","processed","Major section summarized in structured notes"
"S1","web page","Components of Oil Liquids","https://oil101.morgandowney.com/chapters/components","2nd Edition Update: The Shale and NGL Revolution","processed","Major section summarized in structured notes"
"S2","web table of contents","Oil 101 Table of Contents","https://oil101.morgandowney.com/chapters","book navigation","processed","Used for chapter sequence and directory placement"
