"source_id","source_type","title","url_or_path","chapter_section","coverage","notes"
"S1","web page","Exploration and Production","https://oil101.morgandowney.com/chapters/exploration-production","The Upstream Sector","processed","Major section summarized in structured notes"
"S1","web page","Exploration and Production","https://oil101.morgandowney.com/chapters/exploration-production","Obtaining Rights to Explore and Drill","processed","Major section summarized in structured notes"
"S1","web page","Exploration and Production","https://oil101.morgandowney.com/chapters/exploration-production","Types of E&P Agreements","processed","Major section summarized in structured notes"
"S1","web page","Exploration and Production","https://oil101.morgandowney.com/chapters/exploration-production","How Oil Forms: Source Rock, Reservoir Rock, and Cap Rock","processed","Major section summarized in structured notes"
"S1","web page","Exploration and Production","https://oil101.morgandowney.com/chapters/exploration-production","Reservoir Mechanics: Pressure Is Everything","processed","Major section summarized in structured notes"
"S1","web page","Exploration and Production","https://oil101.morgandowney.com/chapters/exploration-production","Exploration: Seismic Surveys","processed","Major section summarized in structured notes"
"S1","web page","Exploration and Production","https://oil101.morgandowney.com/chapters/exploration-production","Drilling","processed","Major section summarized in structured notes"
"S1","web page","Exploration and Production","https://oil101.morgandowney.com/chapters/exploration-production","Production Phases","processed","Major section summarized in structured notes"
"S1","web page","Exploration and Production","https://oil101.morgandowney.com/chapters/exploration-production","Decline Curves and Field Life","processed","Major section summarized in structured notes"
"S1","web page","Exploration and Production","https://oil101.morgandowney.com/chapters/exploration-production","Offshore Production","processed","Major section summarized in structured notes"
"S1","web page","Exploration and Production","https://oil101.morgandowney.com/chapters/exploration-production","The Shale Revolution","processed","Major section summarized in structured notes"
"S2","web table of contents","Oil 101 Table of Contents","https://oil101.morgandowney.com/chapters","book navigation","processed","Used for chapter sequence and directory placement"
