"source_id","source_type","title","url_or_path","chapter_section","coverage","notes"
"S1","web page","Transporting Oil","https://oil101.morgandowney.com/chapters/transporting-oil","Five Methods of Moving Oil","processed","Major section summarized in structured notes"
"S1","web page","Transporting Oil","https://oil101.morgandowney.com/chapters/transporting-oil","Tanker Ships","processed","Major section summarized in structured notes"
"S1","web page","Transporting Oil","https://oil101.morgandowney.com/chapters/transporting-oil","Chartering and Worldscale","processed","Major section summarized in structured notes"
"S1","web page","Transporting Oil","https://oil101.morgandowney.com/chapters/transporting-oil","Pipelines","processed","Major section summarized in structured notes"
"S1","web page","Transporting Oil","https://oil101.morgandowney.com/chapters/transporting-oil","Crude by Rail and the Bakken Boom","processed","Major section summarized in structured notes"
"S1","web page","Transporting Oil","https://oil101.morgandowney.com/chapters/transporting-oil","Trucking: The Last Mile","processed","Major section summarized in structured notes"
"S1","web page","Transporting Oil","https://oil101.morgandowney.com/chapters/transporting-oil","IMO 2020 and the Transformation of Bunker Fuel","processed","Major section summarized in structured notes"
"S1","web page","Transporting Oil","https://oil101.morgandowney.com/chapters/transporting-oil","Shipping Chokepoints","processed","Major section summarized in structured notes"
"S1","web page","Transporting Oil","https://oil101.morgandowney.com/chapters/transporting-oil","LNG Carriers in Brief","processed","Major section summarized in structured notes"
"S1","web page","Transporting Oil","https://oil101.morgandowney.com/chapters/transporting-oil","Trading Hubs","processed","Major section summarized in structured notes"
"S1","web page","Transporting Oil","https://oil101.morgandowney.com/chapters/transporting-oil","Incoterms and Delivery Pricing","processed","Major section summarized in structured notes"
"S2","web table of contents","Oil 101 Table of Contents","https://oil101.morgandowney.com/chapters","book navigation","processed","Used for chapter sequence and directory placement"
