"source_id","source_type","title","url_or_path","chapter_section","coverage","notes"
"S1","web page","Seasonality","https://oil101.morgandowney.com/chapters/seasonality","Four Overlapping Calendars","processed","Major section summarized in structured notes"
"S1","web page","Seasonality","https://oil101.morgandowney.com/chapters/seasonality","Gasoline: Memorial Day to Labor Day","processed","Major section summarized in structured notes"
"S1","web page","Seasonality","https://oil101.morgandowney.com/chapters/seasonality","Summer Grade and Winter Grade: The RVP Calendar","processed","Major section summarized in structured notes"
"S1","web page","Seasonality","https://oil101.morgandowney.com/chapters/seasonality","Heating Oil, Propane, and the HDD Framework","processed","Major section summarized in structured notes"
"S1","web page","Seasonality","https://oil101.morgandowney.com/chapters/seasonality","Natural Gas Storage: Inject and Withdraw","processed","Major section summarized in structured notes"
"S1","web page","Seasonality","https://oil101.morgandowney.com/chapters/seasonality","The Refinery Turnaround Calendar","processed","Major section summarized in structured notes"
"S1","web page","Seasonality","https://oil101.morgandowney.com/chapters/seasonality","Atlantic Hurricanes","processed","Major section summarized in structured notes"
"S1","web page","Seasonality","https://oil101.morgandowney.com/chapters/seasonality","North Sea Storms and Baltic Ice","processed","Major section summarized in structured notes"
"S1","web page","Seasonality","https://oil101.morgandowney.com/chapters/seasonality","Rivers and Canals: Low Water Bottlenecks","processed","Major section summarized in structured notes"
"S1","web page","Seasonality","https://oil101.morgandowney.com/chapters/seasonality","Why Crude Oil Itself Is Less Seasonal Than Its Products","processed","Major section summarized in structured notes"
"S2","web table of contents","Oil 101 Table of Contents","https://oil101.morgandowney.com/chapters","book navigation","processed","Used for chapter sequence and directory placement"
