"source_id","source_type","title","url_or_path","chapter_section","coverage","notes"
"S1","web page","Oil Prices","https://oil101.morgandowney.com/chapters/oil-prices","Physical Oil Trading","processed","Major section summarized in structured notes"
"S1","web page","Oil Prices","https://oil101.morgandowney.com/chapters/oil-prices","Benchmark Pricing","processed","Major section summarized in structured notes"
"S1","web page","Oil Prices","https://oil101.morgandowney.com/chapters/oil-prices","The Delivery-Chain Price Ladder","processed","Major section summarized in structured notes"
"S1","web page","Oil Prices","https://oil101.morgandowney.com/chapters/oil-prices","Unit Conversions","processed","Major section summarized in structured notes"
"S1","web page","Oil Prices","https://oil101.morgandowney.com/chapters/oil-prices","Formula Pricing: A Worked Example","processed","Major section summarized in structured notes"
"S1","web page","Oil Prices","https://oil101.morgandowney.com/chapters/oil-prices","Freight Netback Pricing","processed","Major section summarized in structured notes"
"S1","web page","Oil Prices","https://oil101.morgandowney.com/chapters/oil-prices","Pricing Windows and the Platts MOC","processed","Major section summarized in structured notes"
"S1","web page","Oil Prices","https://oil101.morgandowney.com/chapters/oil-prices","Oil and the US Dollar","processed","Major section summarized in structured notes"
"S1","web page","Oil Prices","https://oil101.morgandowney.com/chapters/oil-prices","Retail Price Differences","processed","Major section summarized in structured notes"
"S2","web table of contents","Oil 101 Table of Contents","https://oil101.morgandowney.com/chapters","book navigation","processed","Used for chapter sequence and directory placement"
