"source_id","source_type","title","url_or_path","chapter_section","coverage","notes"
"S1","web page","Petrochemicals","https://oil101.morgandowney.com/chapters/petrochemicals","Chemicals from Oil and Gas","processed","Major section summarized in structured notes"
"S1","web page","Petrochemicals","https://oil101.morgandowney.com/chapters/petrochemicals","Two Feedstock Routes","processed","Major section summarized in structured notes"
"S1","web page","Petrochemicals","https://oil101.morgandowney.com/chapters/petrochemicals","The Six Basic Building Blocks","processed","Major section summarized in structured notes"
"S1","web page","Petrochemicals","https://oil101.morgandowney.com/chapters/petrochemicals","The Ethylene Value Chain","processed","Major section summarized in structured notes"
"S1","web page","Petrochemicals","https://oil101.morgandowney.com/chapters/petrochemicals","The Propylene Value Chain","processed","Major section summarized in structured notes"
"S1","web page","Petrochemicals","https://oil101.morgandowney.com/chapters/petrochemicals","The Aromatics Value Chain","processed","Major section summarized in structured notes"
"S1","web page","Petrochemicals","https://oil101.morgandowney.com/chapters/petrochemicals","Methanol, Ammonia, and Urea","processed","Major section summarized in structured notes"
"S1","web page","Petrochemicals","https://oil101.morgandowney.com/chapters/petrochemicals","The US Shale Advantage","processed","Major section summarized in structured notes"
"S1","web page","Petrochemicals","https://oil101.morgandowney.com/chapters/petrochemicals","Plastics in Context and the China Overbuild","processed","Major section summarized in structured notes"
"S1","web page","Petrochemicals","https://oil101.morgandowney.com/chapters/petrochemicals","2nd Edition Update: The Petrochemical Demand Driver","processed","Major section summarized in structured notes"
"S2","web table of contents","Oil 101 Table of Contents","https://oil101.morgandowney.com/chapters","book navigation","processed","Used for chapter sequence and directory placement"
