"source_id","source_type","title","url_or_path","chapter_section","coverage","notes"
"S1","web page","The Energy Transition","https://oil101.morgandowney.com/chapters/energy-transition","The Peak Demand Debate","processed","Major section summarized in structured notes"
"S1","web page","The Energy Transition","https://oil101.morgandowney.com/chapters/energy-transition","OECD and Non-OECD Divergence","processed","Major section summarized in structured notes"
"S1","web page","The Energy Transition","https://oil101.morgandowney.com/chapters/energy-transition","Electric Vehicles","processed","Major section summarized in structured notes"
"S1","web page","The Energy Transition","https://oil101.morgandowney.com/chapters/energy-transition","The Cost Collapse in Solar and Wind","processed","Major section summarized in structured notes"
"S1","web page","The Energy Transition","https://oil101.morgandowney.com/chapters/energy-transition","Renewable Additions and the Gas Paradox","processed","Major section summarized in structured notes"
"S1","web page","The Energy Transition","https://oil101.morgandowney.com/chapters/energy-transition","Carbon Markets and the EU ETS","processed","Major section summarized in structured notes"
"S1","web page","The Energy Transition","https://oil101.morgandowney.com/chapters/energy-transition","The IRA and the 2025 Rollback","processed","Major section summarized in structured notes"
"S1","web page","The Energy Transition","https://oil101.morgandowney.com/chapters/energy-transition","Carbon Capture and Hydrogen","processed","Major section summarized in structured notes"
"S1","web page","The Energy Transition","https://oil101.morgandowney.com/chapters/energy-transition","The Investment Paradox","processed","Major section summarized in structured notes"
"S1","web page","The Energy Transition","https://oil101.morgandowney.com/chapters/energy-transition","Peak Demand or Peak Fossil Fuel?","processed","Major section summarized in structured notes"
"S2","web table of contents","Oil 101 Table of Contents","https://oil101.morgandowney.com/chapters","book navigation","processed","Used for chapter sequence and directory placement"
