"source_id","source_type","title","url_or_path","chapter_section","coverage","notes"
"S1","web page","Reserves","https://oil101.morgandowney.com/chapters/reserves","What Are Oil Reserves?","processed","Major section summarized in structured notes"
"S1","web page","Reserves","https://oil101.morgandowney.com/chapters/reserves","The Three Ps","processed","Major section summarized in structured notes"
"S1","web page","Reserves","https://oil101.morgandowney.com/chapters/reserves","PDP, PDNP, PUD: The Development Status Categories","processed","Major section summarized in structured notes"
"S1","web page","Reserves","https://oil101.morgandowney.com/chapters/reserves","Reserve Recategorization (""Re-Catting"")","processed","Major section summarized in structured notes"
"S1","web page","Reserves","https://oil101.morgandowney.com/chapters/reserves","Reserve Estimation Methods","processed","Major section summarized in structured notes"
"S1","web page","Reserves","https://oil101.morgandowney.com/chapters/reserves","Peak Oil and Hubbert's Curve","processed","Major section summarized in structured notes"
"S1","web page","Reserves","https://oil101.morgandowney.com/chapters/reserves","OPEC's 1982-1988 Reserve Revisions","processed","Major section summarized in structured notes"
"S1","web page","Reserves","https://oil101.morgandowney.com/chapters/reserves","Reserves to Production Ratio by Country","processed","Major section summarized in structured notes"
"S1","web page","Reserves","https://oil101.morgandowney.com/chapters/reserves","Reserve Replacement Ratio","processed","Major section summarized in structured notes"
"S1","web page","Reserves","https://oil101.morgandowney.com/chapters/reserves","SEC PV-10 and Reserve-Based Lending","processed","Major section summarized in structured notes"
"S1","web page","Reserves","https://oil101.morgandowney.com/chapters/reserves","EUR and Drilling Inventory","processed","Major section summarized in structured notes"
"S1","web page","Reserves","https://oil101.morgandowney.com/chapters/reserves","Giant Fields Still Dominate Global Reserves","processed","Major section summarized in structured notes"
"S2","web table of contents","Oil 101 Table of Contents","https://oil101.morgandowney.com/chapters","book navigation","processed","Used for chapter sequence and directory placement"
